Timestamp,Ward,Envelope Postmarked:,Language submitted in:,1. How happy do you feel right now?,2. How satisfied are you with your life in general?,3. How satisfied are you with Somerville as a place to live?,4. How satisfied are you with your neighborhood?,5. Do you feel the City is headed in the right direction or is it on the wrong track?,6a. How would you rate the availability of information about city services?,6b. How would you rate the cost of housing?,6c. How would you rate the overall quality of public schools?,6d. How would you rate your trust in the local police?,6e. How would you rate the maintenance of streets and sidewalks?,6f. How would you rate the availability of social community events?,"7. In the past year, have you used 311 (via phone, online, etc)?","8. In the past year, did you attend a City led meeting?",9. How safe do you feel crossing a busy street in Somerville?,10. How convenient is it for you to get where you want to go? ,11. How safe do you feel walking in your neighborhood at night?,12. How satisfied are you with the appearance of parks and squares in your neighborhood?,13. How satisfied are you with the beauty or physical setting of your neighborhood?,14. How satisfied are you with the condition of your housing?,"15. In the past year, how satisfied were you with your ability to access City services?",1. What is your gender ,What is your age?,3. What language(s) do you speak at home?,4. What is your race or ethnicity?,5. Do you identify as having a disability and/or physical impairment that substantially limits one or more of your major activities?,6. Do you have children age 18 or younger who live with you?,7. Describe your housing status in Somerville.,8a. Do you plan to move away from Somerville in the next two years?,"8b. If yes, why?",9. What is your annual household income?,10. Are you a student?,11. How long have you lived in Somerville?,12. What is your primary mode of transportation? ,Any comments?
2021/07/14 7:56:03 AM EST,1,6/12/21,English,10,10,7,7,Right direction,5,5,1,4,3,3,No,,1,10,5,3,3,4,5,Male,38,"English, Ctt, python",Asian;White,No,No,Own,No,,"$150,000 to 200,000",No,6 years,Walk;Bike;Public transit,
2021/07/14 8:00:06 AM EST,1,6/12/21,English,10,10,7,5,Right direction,5,5,1,4,3,3,"Yes, more than once",,1,10,5,3,3,5,5,Female,38,English and Spanish,Hispanic/Latino;White,No,No,Own,No,,"$150,000 to 200,000",No,6 years,Walk;Bike;Public transit,
2021/07/14 8:04:22 AM EST,7,6/19/21,English,7,9,7,9,Not sure,3,1,4,2,1,3,"Yes, once","Yes, once",3,7,7,9,9,8,1,Female,38,"English, German",White,No,Yes,Own,Yes,Cost of Family Housing,"$100,000 to $149,999",,5 years,Bike,
2021/07/14 8:08:20 AM EST,1,,English,2,7,2,2,Wrong track,3,2,3,2,2,3,No,No,3,6,3,7,7,7,6,Male,35,English,White,No,Yes,Rent,Yes,"Street noise: Mufflers, motorcycles","$200,000 or more",No,3+ years,Car,
2021/07/14 8:11:57 AM EST,5,6/21/21,English,6,7,7,7,Not sure,3,1,3,3,2,3,"Yes, once","Yes, once",6,7,7,7,6,6,5,Male,59,English,,No,Yes,Rent,Yes,Housing/cost of rent,"$75,000 to $99,999",No,32 years,Car,
2021/07/14 8:14:51 AM EST,,,English,6,9,9,9,Not sure,5,2,4,4,3,,No,No,5,9,9,9,9,9,9,Female,63,english,White,No,No,Own,No,,"$100,000 to $149,999",No,29 years,Walk;Public transit;Car,
2021/07/14 8:18:16 AM EST,5,6/21/21,English,10,10,10,10,Right direction,5,4,4,4,4,5,"Yes, more than once","Yes, more than once",9,10,7,9,9,8,10,Female,67,English,White,No,No,Own,No,,"$75,000 to $99,999",No,45 years,Walk;Bike;Public transit;Car,
2021/07/14 8:21:46 AM EST,5,6/12/21,English,7,7,7,7,Right direction,1,1,3,4,4,5,"Yes, more than once","Yes, more than once",7,10,8,10,8,7,8,Male,43,English,Asian,No,Yes,Own,Yes,schools,"$200,000 or more",No,11 years,Walk;Public transit,
2021/07/14 8:25:47 AM EST,5,6/10/21,English,6,6,7,6,Right direction,4,2,4,4,3,4,"Yes, once",No,8,6,9,9,8,9,9,Female,42,English,White,No,No,Rent,Yes,Move space inside & out,"$200,000 or more",No,4 yrs,Bike;Car,
2021/07/14 8:29:28 AM EST,1,6/10/21,English,7,7,7,6,Right direction,3,3,,3,4,,No,No,8,8,6,8,6,8,6,Female,23,English,White,,No,Rent,Yes,job,"$100,000 to $149,999",No,~ 8 mo.,Walk;Public transit;Car,
